"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coldhouse","Coolhouse",2,4,-0.59583416870862,-0.202365086079496,-0.393469082629124,0.123579986605954,1,0.144605065089154,0.173148894211737,"Tested",0.370432154591947
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coldhouse","Hothouse",2,3,-0.59583416870862,0.369370097042025,-0.965204265750645,0.193238115385616,1,0.144605065089154,0.836656089752951,"Tested",0.370432154591947
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coolhouse","Warmhouse",4,6,-0.202365086079496,-0.15908050385069,-0.0432845822288065,0.227772546894665,8,0.173148894211737,0.259437321724378,"Tested",0.370432154591947
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Transitional","Warmhouse",3,6,-0.59813178820627,-0.15908050385069,-0.43905128435558,0.259302508214363,6,0.486673686410846,0.259437321724378,"Tested",0.370432154591947
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Transitional","Hothouse",3,3,-0.59813178820627,0.369370097042025,-0.967501885248294,0.191366544442613,2,0.486673686410846,0.836656089752951,"Tested",0.370432154591947
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Warmhouse","Hothouse",6,3,-0.15908050385069,0.369370097042025,-0.528450600892714,0.259302508214363,6,0.259437321724378,0.836656089752951,"Tested",0.370432154591947
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coolhouse","Hothouse",4,3,-0.202365086079496,0.369370097042025,-0.571735183121521,0.297941545282589,4,0.173148894211737,0.836656089752951,"Tested",0.372426931603236
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coldhouse","Transitional",2,3,-0.59583416870862,-0.59813178820627,0.00229761949764962,0.613585003657776,3,0.144605065089154,0.486673686410846,"Tested",0.681761115175307
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coolhouse","Transitional",4,3,-0.202365086079496,-0.59813178820627,0.395766702126774,0.811620441094209,8,0.173148894211737,0.486673686410846,"Tested",0.811620441094209
"percentile_latbin_OLS","q90","collection10_k1_tropical_temperate","Coldhouse","Warmhouse",17,20,-0.853985414021268,0.09750954619291,-0.951494960214178,1.39192585228189e-05,32,0.76455675978375,0.686965638171263,"Tested",6.95962926140944e-05
